Kind,Name,CountClassCoupled,PercentLackOfCohesion,CountDeclMethod
Public Interface,org.apache.xerces.xni.grammars.XSGrammar,1,0,2
Public Interface,org.apache.xerces.xni.parser.XMLComponent,4,0,7
Public Interface,org.apache.xerces.xni.parser.XMLComponentManager,2,0,2
Public Interface,org.apache.xerces.xni.parser.XMLDTDContentModelFilter,0,0,0
Public Interface,org.apache.xerces.xni.parser.XMLDTDContentModelSource,1,0,2
Public Interface,org.apache.xerces.xni.parser.XMLDTDFilter,0,0,0
Public Interface,org.apache.xerces.xni.parser.XMLDTDScanner,3,0,3
Public Interface,org.apache.xerces.xni.parser.XMLDTDSource,1,0,2
Public Interface,org.apache.xerces.xni.parser.XMLDocumentFilter,0,0,0
Public Interface,org.apache.xerces.xni.parser.XMLDocumentScanner,3,0,2
Public Interface,org.apache.xerces.xni.parser.XMLDocumentSource,1,0,2
Public Interface,org.apache.xerces.xni.parser.XMLEntityResolver,4,0,1
Public Interface,org.apache.xerces.xni.parser.XMLErrorHandler,3,0,3
Public Interface,org.apache.xerces.xni.parser.XMLParserConfiguration,11,0,19
Public Interface,org.apache.xerces.xni.parser.XMLPullParserConfiguration,4,0,3
Public Interface,org.apache.xerces.xs.AttributePSVI,1,0,1
Public Interface,org.apache.xerces.xs.ElementPSVI,3,0,4
Public Interface,org.apache.xerces.xs.ItemPSVI,6,100,12
Public Interface,org.apache.xerces.xs.LSInputList,1,0,2
Public Interface,org.apache.xerces.xs.PSVIProvider,3,0,3
Public Interface,org.apache.xerces.xs.ShortList,1,0,3
Public Interface,org.apache.xerces.xs.StringList,1,0,3
Public Interface,org.apache.xerces.xs.XSAnnotation,1,100,2
Public Interface,org.apache.xerces.xs.XSAttributeDeclaration,6,0,9
Public Interface,org.apache.xerces.xs.XSAttributeGroupDefinition,3,0,3
Public Interface,org.apache.xerces.xs.XSAttributeUse,4,0,7
Public Interface,org.apache.xerces.xs.XSComplexTypeDefinition,4,100,10
Public Interface,org.apache.xerces.xs.XSConstants,0,0,0
Public Interface,org.apache.xerces.xs.XSElementDeclaration,7,0,17
Public Interface,org.apache.xerces.xs.XSFacet,2,0,4
Public Interface,org.apache.xerces.xs.XSIDCDefinition,3,100,5
Public Interface,org.apache.xerces.xs.XSImplementation,3,0,2
Public Interface,org.apache.xerces.xs.XSLoader,6,0,5
Public Interface,org.apache.xerces.xs.XSModel,11,0,11
Public Interface,org.apache.xerces.xs.XSModelGroup,2,100,3
Public Interface,org.apache.xerces.xs.XSModelGroupDefinition,2,0,2
Public Interface,org.apache.xerces.xs.XSMultiValueFacet,2,0,3
Public Interface,org.apache.xerces.xs.XSNamedMap,2,0,3
Public Interface,org.apache.xerces.xs.XSNamespaceItem,10,0,10
Public Interface,org.apache.xerces.xs.XSNamespaceItemList,1,0,2
Public Interface,org.apache.xerces.xs.XSNotationDeclaration,2,0,3
Public Interface,org.apache.xerces.xs.XSObject,2,0,4
Public Interface,org.apache.xerces.xs.XSObjectList,1,0,2
Public Interface,org.apache.xerces.xs.XSParticle,1,0,4
Public Interface,org.apache.xerces.xs.XSSimpleTypeDefinition,3,100,19
Public Interface,org.apache.xerces.xs.XSTerm,0,0,0
Public Interface,org.apache.xerces.xs.XSTypeDefinition,1,100,7
Public Interface,org.apache.xerces.xs.XSWildcard,2,100,4
Public Interface,org.apache.xml.serialize.DOMSerializer,4,0,3
Public Interface,org.apache.xml.serialize.Serializer,7,0,6
Public Interface,org.w3c.dom.Attr,4,0,7
Public Interface,org.w3c.dom.CDATASection,0,0,0
Public Interface,org.w3c.dom.CharacterData,2,0,8
Public Interface,org.w3c.dom.Comment,0,0,0
Public Interface,org.w3c.dom.DOMConfiguration,3,0,4
Public Interface,org.w3c.dom.DOMError,2,100,6
Public Interface,org.w3c.dom.DOMErrorHandler,1,0,1
Public Interface,org.w3c.dom.DOMImplementation,4,0,4
Public Interface,org.w3c.dom.DOMImplementationList,1,0,2
Public Interface,org.w3c.dom.DOMImplementationSource,3,0,2
Public Interface,org.w3c.dom.DOMLocator,2,0,6
Public Interface,org.w3c.dom.DOMStringList,1,0,3
Public Interface,org.w3c.dom.Document,14,0,31
Public Interface,org.w3c.dom.DocumentFragment,0,0,0
Public Interface,org.w3c.dom.DocumentType,2,0,6
Public Interface,org.w3c.dom.Element,5,0,20
Public Interface,org.w3c.dom.Entity,1,0,6
Public Interface,org.w3c.dom.EntityReference,0,0,0
Public Interface,org.w3c.dom.NameList,1,0,5
Public Interface,org.w3c.dom.NamedNodeMap,3,0,8
Public Interface,org.w3c.dom.Node,6,100,37
Public Interface,org.w3c.dom.NodeList,1,0,2
Public Interface,org.w3c.dom.Notation,1,0,2
Public Interface,org.w3c.dom.ProcessingInstruction,2,0,3
Public Interface,org.w3c.dom.Text,2,0,4
Public Interface,org.w3c.dom.TypeInfo,1,100,3
Public Interface,org.w3c.dom.UserDataHandler,2,100,1
Public Interface,org.w3c.dom.html.HTMLDOMImplementation,2,0,1
Public Interface,org.w3c.dom.ls.DOMImplementationLS,6,100,4
Public Interface,org.w3c.dom.ls.LSInput,3,0,16
Public Interface,org.w3c.dom.ls.LSLoadEvent,2,0,2
Public Interface,org.w3c.dom.ls.LSOutput,3,0,8
Public Interface,org.w3c.dom.ls.LSParser,8,100,9
Public Interface,org.w3c.dom.ls.LSParserFilter,2,100,3
Public Interface,org.w3c.dom.ls.LSProgressEvent,1,0,3
Public Interface,org.w3c.dom.ls.LSResourceResolver,2,0,1
Public Interface,org.w3c.dom.ls.LSSerializer,7,0,8
Public Interface,org.w3c.dom.ls.LSSerializerFilter,0,0,1
Public Interface,org.w3c.dom.xpath.XPathEvaluator,6,0,3
Public Interface,org.w3c.dom.xpath.XPathExpression,3,0,1
Public Interface,org.w3c.dom.xpath.XPathNSResolver,1,0,1
Public Interface,org.w3c.dom.xpath.XPathNamespace,1,100,1
Public Interface,org.w3c.dom.xpath.XPathResult,4,100,9
Public Static Abstract Class,org.apache.xerces.impl.XMLEntityManager.Entity,1,50,7
Public Static Class,org.apache.xerces.impl.xpath.XPath.Axis,1,65,4
Public Static Class,org.apache.xerces.impl.xpath.XPath.LocationPath,4,25,4
Public Static Class,org.apache.xerces.impl.xpath.XPath.NodeTest,2,58,6
Public Static Class,org.apache.xerces.impl.xpath.XPath.Step,3,25,4
Public Static Class,org.apache.xerces.impl.xs.SchemaGrammar.BuiltinSchemaGrammar,21,0,14
Public Static Class,org.apache.xerces.impl.xs.identity.Field.XPath,7,0,1
Public Static Class,org.apache.xerces.impl.xs.identity.Selector.XPath,8,0,2
Public Static Class,org.apache.xerces.parsers.CachingParserPool.ShadowedGrammarPool,3,33,6
Public Static Class,org.apache.xerces.parsers.CachingParserPool.SynchronizedGrammarPool,3,0,7
Public Static Class,org.apache.xerces.util.URI.MalformedURIException,1,0,2
Public Static Class,org.apache.xml.serialize.OutputFormat.DTD,1,0,0
Public Static Class,org.apache.xml.serialize.OutputFormat.Defaults,1,0,0
Public Static Class,socket.KeepSocketOpen.Client,18,79,11
Public Static Class,socket.KeepSocketOpen.Server,10,33,3
Public Static Class,ui.DOMTreeFull.Model,8,70,10
Static Class,org.apache.html.dom.ObjectFactory.ConfigurationError,2,0,2
Static Class,org.apache.xerces.dom.DeferredDocumentImpl.IntVector,1,40,5
Static Class,org.apache.xerces.dom.ObjectFactory.ConfigurationError,2,0,2
Static Class,org.apache.xerces.impl.Constants.ArrayEnumeration,1,16,3
Static Class,org.apache.xerces.impl.dv.ObjectFactory.ConfigurationError,2,0,2
Static Class,org.apache.xerces.impl.dv.xs.AbstractDateTimeDV.DateTimeData,2,22,3
Static Class,org.apache.xerces.impl.dv.xs.DecimalDV.XDecimal,4,58,9
Static Class,org.apache.xerces.impl.dv.xs.ListDV.ListData,2,40,5
Static Class,org.apache.xerces.impl.xpath.regex.Op.CharOp,0,0,2
Static Class,org.apache.xerces.impl.xpath.regex.Op.ChildOp,0,33,3
Static Class,org.apache.xerces.impl.xpath.regex.Op.ConditionOp,0,0,1
Static Class,org.apache.xerces.impl.xpath.regex.Op.ModifierOp,0,33,3
Static Class,org.apache.xerces.impl.xpath.regex.Op.RangeOp,2,0,2
Static Class,org.apache.xerces.impl.xpath.regex.Op.StringOp,1,0,2
Static Class,org.apache.xerces.impl.xpath.regex.Op.UnionOp,1,0,4
Static Class,org.apache.xerces.impl.xpath.regex.RegexParser.ReferencePosition,0,0,1
Static Class,org.apache.xerces.impl.xpath.regex.RegularExpression.Context,3,66,5
Static Class,org.apache.xerces.impl.xpath.regex.Token.CharToken,3,0,4
Static Class,org.apache.xerces.impl.xpath.regex.Token.ClosureToken,2,70,8
Static Class,org.apache.xerces.impl.xpath.regex.Token.ConcatToken,1,25,4
Static Class,org.apache.xerces.impl.xpath.regex.Token.ConditionToken,2,31,4
Static Class,org.apache.xerces.impl.xpath.regex.Token.FixedStringContainer,1,100,1
Static Class,org.apache.xerces.impl.xpath.regex.Token.ModifierToken,2,50,6
Static Class,org.apache.xerces.impl.xpath.regex.Token.ParenToken,1,40,5
Static Class,org.apache.xerces.impl.xpath.regex.Token.StringToken,2,25,4
Static Class,org.apache.xerces.impl.xpath.regex.Token.UnionToken,5,19,5
Static Class,org.apache.xerces.impl.xs.XMLSchemaLoader.LocationArray,3,9,5
Static Class,org.apache.xerces.parsers.ObjectFactory.ConfigurationError,2,0,2
Static Class,org.apache.xerces.util.XMLAttributesImpl.Attribute,4,0,0
Static Class,org.apache.xerces.xinclude.ObjectFactory.ConfigurationError,2,0,2
Static Class,org.apache.xml.serialize.ObjectFactory.ConfigurationError,2,0,2
Static Class,sax.helpers.AttributesImpl.ListNode,1,41,2
Static Class,socket.DelayedInput.DelayedInputStream,8,66,3
Static Class,ui.DOMTree.Model,10,59,11
Static Class,xni.ObjectFactory.ConfigurationError,2,0,2
