Kind,Name,CountClassCoupled,CountDeclMethod,PercentLackOfCohesion,DATE
Class,com.jrefinery.chart.combination.CombinedPlot.ChartInfo,2,1,0,03/25/2002
Class,com.jrefinery.chart.data.ArrayHolder,0,2,0,03/25/2002
Class,com.jrefinery.chart.demo.JFreeChartDemo.JFreeChartDemo.(Anon_1),3,1,0,03/25/2002
Class,com.jrefinery.chart.demo.TimerThread,5,2,0,03/25/2002
Class,com.jrefinery.chart.demo.jdbc.swing.swingdemo.jbInit.(Anon_1),2,1,0,03/25/2002
Class,com.jrefinery.chart.demo.jdbc.swing.swingdemo.setupGlassPane.(Anon_2),1,5,0,03/25/2002
Class,com.jrefinery.chart.ui.LegendPropertyEditPanel,16,13,78,03/25/2002
Class,com.jrefinery.chart.ui.NumberAxisPropertyEditPanel,21,13,72,03/25/2002
Protected Class,com.jrefinery.chart.demo.jdbc.swing.swingdemo.RefreshChartDataThread,16,1,0,03/25/2002
Public Abstract Class,com.jrefinery.chart.AbstractTitle,11,23,93,03/25/2002
Public Abstract Class,com.jrefinery.chart.Axis,20,33,91,03/25/2002
Public Abstract Class,com.jrefinery.chart.BarRenderer,4,4,78,03/25/2002
Public Abstract Class,com.jrefinery.chart.CategoryAxis,5,2,0,03/25/2002
Public Abstract Class,com.jrefinery.chart.CategoryPlot,14,21,91,03/25/2002
Public Abstract Class,com.jrefinery.chart.DateAxis,11,22,87,03/25/2002
Public Abstract Class,com.jrefinery.chart.Legend,9,8,85,03/25/2002
Public Abstract Class,com.jrefinery.chart.LegendTitle,6,4,75,03/25/2002
Public Abstract Class,com.jrefinery.chart.NumberAxis,15,22,89,03/25/2002
Public Abstract Class,com.jrefinery.chart.Plot,33,44,93,03/25/2002
Public Abstract Class,com.jrefinery.chart.TickUnit,1,3,33,03/25/2002
Public Abstract Class,com.jrefinery.chart.ValueAxis,10,33,93,03/25/2002
Public Abstract Class,com.jrefinery.chart.WindAxis,9,14,76,03/25/2002
Public Abstract Class,com.jrefinery.chart.combination.AbstractAxisRange,1,7,42,03/25/2002
Public Class,com.jrefinery.chart.AxisNotCompatibleException,1,1,0,03/25/2002
Public Class,com.jrefinery.chart.CandlestickRenderer,15,2,0,03/25/2002
Public Class,com.jrefinery.chart.ChartFactory,35,21,0,03/25/2002
Public Class,com.jrefinery.chart.ChartUtilities,12,4,0,03/25/2002
Public Class,com.jrefinery.chart.CrosshairInfo,1,9,64,03/25/2002
Public Class,com.jrefinery.chart.DateTitle,7,5,0,03/25/2002
Public Class,com.jrefinery.chart.DateUnit,2,4,25,03/25/2002
Public Class,com.jrefinery.chart.DrawInfo,3,11,63,03/25/2002
Public Class,com.jrefinery.chart.HighLow,6,13,82,03/25/2002
Public Class,com.jrefinery.chart.HighLowRenderer,13,2,0,03/25/2002
Public Class,com.jrefinery.chart.HorizontalBarRenderer,11,4,0,03/25/2002
Public Class,com.jrefinery.chart.HorizontalCategoryAxis,20,12,41,03/25/2002
Public Class,com.jrefinery.chart.HorizontalCategoryPlot,32,16,0,03/25/2002
Public Class,com.jrefinery.chart.HorizontalDateAxis,28,19,57,03/25/2002
Public Class,com.jrefinery.chart.HorizontalIntervalBarRenderer,11,5,0,03/25/2002
Public Class,com.jrefinery.chart.HorizontalNumberAxis,26,16,50,03/25/2002
Public Class,com.jrefinery.chart.ImageTitle,8,10,66,03/25/2002
Public Class,com.jrefinery.chart.JFreeChart,35,33,88,03/25/2002
Public Class,com.jrefinery.chart.JFreeChartFrame,4,3,33,03/25/2002
Public Class,com.jrefinery.chart.JFreeChartPanel,34,26,89,03/25/2002
Public Class,com.jrefinery.chart.LegendItem,4,11,83,03/25/2002
Public Class,com.jrefinery.chart.LegendItemCollection,6,5,19,03/25/2002
Public Class,com.jrefinery.chart.LineAndShapeRenderer,9,5,70,03/25/2002
Public Class,com.jrefinery.chart.NumberTickUnit,2,2,50,03/25/2002
Public Class,com.jrefinery.chart.PeriodMarkerPlot,27,14,0,03/25/2002
Public Class,com.jrefinery.chart.PiePlot,39,31,91,03/25/2002
Public Class,com.jrefinery.chart.PlotException,1,1,0,03/25/2002
Public Class,com.jrefinery.chart.PlotNotCompatibleException,1,1,0,03/25/2002
Public Class,com.jrefinery.chart.SignalRenderer,17,2,50,03/25/2002
Public Class,com.jrefinery.chart.Spacer,0,7,36,03/25/2002
Public Class,com.jrefinery.chart.StackedHorizontalBarRenderer,11,5,0,03/25/2002
Public Class,com.jrefinery.chart.StackedVerticalBarRenderer,11,4,0,03/25/2002
