FileName,PercentLackOfCohesion-Real,PercentLackOfCohesion-Predicted,CountLineCode-Real,CountLineCode-Predicted,SumCyclomatic-Real,SumCyclomatic-Predicted,CountDeclMethodAll-Real,CountDeclMethodAll-Predicted
io.realm.internal.Row.csv,74.0,73.06887864291234,162.0,165.31136719443833,38.0,36.785826971090046,60.0,59.24423447565787,
io.realm.internal.SharedGroup.csv,78.0,78.0044010862385,172.0,171.94266281789112,34.0,33.81665035523872,38.0,37.84840647185814,
io.realm.internal.SharedGroup.Durability.csv,88.0,NaN,8.0,NaN,3.0,NaN,3.0,NaN,
io.realm.internal.SubtableSchema.csv,44.0,NaN,39.0,NaN,8.0,NaN,9.0,NaN,
io.realm.internal.Table.csv,92.0,95.05599870869777,851.0,943.1307016580263,168.0,190.18714894783895,213.0,223.17235172347074,
io.realm.internal.Table.InternalMethods.csv,0.0,NaN,46.0,NaN,11.0,NaN,10.0,NaN,
io.realm.internal.TableIndexAndDistinctTest.csv,16.0,NaN,68.0,NaN,9.0,NaN,6.0,NaN,
io.realm.internal.TableOrView.csv,0.0,71.05378845196081,85.0,86.7146563241051,72.0,73.00411843958612,72.0,73.00411843958612,
io.realm.internal.TableOrView.PivotType.csv,94.0,NaN,11.0,NaN,3.0,NaN,3.0,NaN,
io.realm.internal.TableQuery.csv,84.0,NaN,523.0,526.9238056659749,113.0,113.65396761099831,146.0,147.30793522199662,
io.realm.internal.TableSchema.csv,0.0,NaN,6.0,NaN,4.0,NaN,4.0,NaN,
io.realm.internal.TableSpec.ColumnInfo.csv,9.0,NaN,109.0,NaN,22.0,NaN,11.0,NaN,
io.realm.internal.TableSpec.csv,0.0,NaN,42.0,NaN,17.0,NaN,3.0,NaN,
io.realm.internal.TableSpecEqualityTest.csv,0.0,NaN,59.0,NaN,5.0,NaN,5.0,NaN,
io.realm.internal.TableView.csv,81.0,NaN,482.0,486.98403539996684,109.0,110.55741142529209,148.0,149.1052265773728,
io.realm.internal.TableView.Order.csv,100.0,NaN,1.0,NaN,2.0,NaN,2.0,NaN,
io.realm.internal.test.CodeGenTest.csv,0.0,NaN,7.0,NaN,0.0,NaN,0.0,NaN,
io.realm.internal.test.CodeGenTest.someModel.csv,0.0,NaN,4.0,NaN,0.0,NaN,0.0,NaN,
io.realm.internal.test.ColumnTypeData.csv,0.0,NaN,6.0,NaN,1.0,NaN,1.0,NaN,
io.realm.internal.test.DataProviderUtil.csv,0.0,NaN,6.0,NaN,1.0,NaN,1.0,NaN,
io.realm.internal.test.EmployeeData.csv,0.0,NaN,42.0,NaN,10.0,NaN,2.0,NaN,
