FileName,PercentLackOfCohesion-Real,PercentLackOfCohesion-Predicted,CountLineCode-Real,CountLineCode-Predicted,SumCyclomatic-Real,SumCyclomatic-Predicted,CountDeclMethodAll-Real,CountDeclMethodAll-Predicted
org.jfree.chart.annotations.CategoryAnnotation.csv,0.0,NaN,4.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.annotations.CategoryTextAnnotation.csv,59.0,65.0,106.0,120.0,22.0,25.0,40.0,41.0,
org.jfree.chart.annotations.TextAnnotation.csv,81.0,82.0,123.0,137.0,30.0,34.0,29.0,30.0,
org.jfree.chart.annotations.XYAnnotation.csv,0.0,NaN,6.0,7.0,1.0,NaN,1.0,NaN,
org.jfree.chart.annotations.XYDrawableAnnotation.csv,47.0,41.0,105.0,107.0,17.0,19.0,27.0,31.0,
org.jfree.chart.annotations.XYLineAnnotation.csv,53.0,59.0,133.0,162.0,23.0,27.0,29.0,33.0,
org.jfree.chart.annotations.XYPointerAnnotation.csv,82.0,83.0,205.0,214.0,38.0,40.0,67.0,70.0,
org.jfree.chart.annotations.XYTextAnnotation.csv,84.0,106.0,189.0,249.0,42.0,55.0,44.0,48.0,
org.jfree.chart.axis.Axis.csv,95.0,95.0,556.0,566.0,125.0,124.0,76.0,71.0,
org.jfree.chart.axis.AxisLocation.csv,69.0,66.0,71.0,78.0,18.0,19.0,18.0,18.0,
org.jfree.chart.axis.AxisSpace.csv,49.0,52.0,181.0,185.0,44.0,45.0,31.0,31.0,
org.jfree.chart.axis.CategoryAnchor.csv,70.0,73.0,41.0,43.0,10.0,10.0,16.0,16.0,
org.jfree.chart.axis.CategoryAxis.csv,91.0,91.0,644.0,669.0,127.0,131.0,125.0,125.0,
org.jfree.chart.axis.CategoryAxis3D.csv,100.0,156.0,86.0,98.0,15.0,17.0,130.0,126.0,
org.jfree.chart.axis.ColorBar.csv,79.0,80.0,212.0,228.0,40.0,43.0,29.0,29.0,
org.jfree.chart.axis.DateAxis.csv,92.0,93.0,1039.0,1060.0,161.0,155.0,197.0,194.0,
org.jfree.chart.axis.DateAxis.DefaultTimeline.csv,0.0,NaN,35.0,35.0,11.0,11.0,20.0,20.0,
org.jfree.chart.axis.DateTickMarkPosition.csv,70.0,67.0,41.0,45.0,10.0,11.0,16.0,16.0,
org.jfree.chart.axis.DateTickUnit.csv,85.0,85.0,153.0,170.0,40.0,42.0,39.0,39.0,
org.jfree.chart.axis.junit.AxisPackageTests.csv,0.0,NaN,47.0,57.0,3.0,4.0,15.0,15.0,
org.jfree.chart.axis.junit.DateAxisTests.csv,0.0,NaN,749.0,640.0,27.0,25.0,37.0,35.0,
org.jfree.chart.axis.junit.DateTickUnitTests.csv,0.0,NaN,39.0,46.0,6.0,7.0,17.0,18.0,
org.jfree.chart.axis.LogarithmicAxis.csv,86.0,87.0,547.0,570.0,114.0,118.0,212.0,210.0,
org.jfree.chart.axis.MarkerAxisBand.csv,50.0,55.0,122.0,135.0,18.0,21.0,19.0,19.0,
org.jfree.chart.axis.NumberAxis.csv,93.0,93.0,751.0,715.0,109.0,103.0,184.0,183.0,
org.jfree.chart.axis.NumberAxis3D.csv,100.0,156.0,48.0,47.0,8.0,7.0,187.0,184.0,
org.jfree.chart.axis.NumberTickUnit.csv,64.0,76.0,50.0,56.0,14.0,17.0,27.0,27.0,
org.jfree.chart.axis.SegmentedTimeline.BaseTimelineSegmentRange.csv,94.0,NaN,640.0,679.0,84.0,86.0,57.0,59.0,
org.jfree.chart.axis.SegmentedTimeline.csv,0.0,NaN,5.0,5.0,1.0,NaN,48.0,48.0,
org.jfree.chart.axis.SegmentedTimeline.Segment.csv,68.0,68.0,151.0,153.0,37.0,37.0,41.0,41.0,
org.jfree.chart.axis.SegmentedTimeline.SegmentRange.csv,66.0,NaN,49.0,50.0,11.0,11.0,47.0,47.0,
org.jfree.chart.axis.Tick.csv,67.0,67.0,63.0,76.0,16.0,20.0,20.0,20.0,
org.jfree.chart.axis.TickUnit.csv,62.0,81.0,59.0,57.0,16.0,16.0,20.0,20.0,
org.jfree.chart.axis.TickUnits.csv,55.0,54.0,61.0,54.0,14.0,14.0,21.0,21.0,
org.jfree.chart.axis.Timeline.csv,0.0,NaN,9.0,NaN,7.0,NaN,7.0,NaN,
org.jfree.chart.axis.ValueAxis.csv,95.0,95.0,714.0,759.0,161.0,168.0,146.0,143.0,
