FileName,PercentLackOfCohesion-Real,PercentLackOfCohesion-Predicted,CountLineCode-Real,CountLineCode-Predicted,SumCyclomatic-Real,SumCyclomatic-Predicted,CountDeclMethodAll-Real,CountDeclMethodAll-Predicted
org.jfree.chart.annotations.CategoryAnnotation.csv,0.0,NaN,4.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.annotations.CategoryTextAnnotation.csv,59.0,64.0,106.0,141.0,22.0,30.0,40.0,44.0,
org.jfree.chart.annotations.TextAnnotation.csv,81.0,84.0,123.0,144.0,30.0,35.0,29.0,32.0,
org.jfree.chart.annotations.XYAnnotation.csv,0.0,NaN,6.0,7.0,1.0,NaN,1.0,NaN,
org.jfree.chart.annotations.XYDrawableAnnotation.csv,47.0,43.0,105.0,110.0,17.0,20.0,27.0,32.0,
org.jfree.chart.annotations.XYLineAnnotation.csv,53.0,82.0,133.0,204.0,23.0,34.0,29.0,37.0,
org.jfree.chart.annotations.XYPointerAnnotation.csv,82.0,84.0,205.0,204.0,38.0,39.0,67.0,71.0,
org.jfree.chart.annotations.XYTextAnnotation.csv,84.0,116.0,189.0,234.0,42.0,52.0,44.0,50.0,
org.jfree.chart.axis.Axis.csv,95.0,96.0,556.0,603.0,125.0,133.0,76.0,76.0,
org.jfree.chart.axis.AxisLocation.csv,69.0,63.0,71.0,95.0,18.0,23.0,18.0,19.0,
org.jfree.chart.axis.AxisSpace.csv,49.0,52.0,181.0,191.0,44.0,46.0,31.0,32.0,
org.jfree.chart.axis.CategoryAnchor.csv,70.0,73.0,41.0,46.0,10.0,11.0,16.0,16.0,
org.jfree.chart.axis.CategoryAxis.csv,91.0,93.0,644.0,757.0,127.0,138.0,125.0,138.0,
org.jfree.chart.axis.CategoryAxis3D.csv,100.0,117.0,86.0,117.0,15.0,20.0,130.0,135.0,
org.jfree.chart.axis.ColorBar.csv,79.0,81.0,212.0,243.0,40.0,43.0,29.0,30.0,
org.jfree.chart.axis.DateAxis.csv,92.0,94.0,1039.0,1219.0,161.0,165.0,197.0,213.0,
org.jfree.chart.axis.DateAxis.DefaultTimeline.csv,0.0,NaN,35.0,37.0,11.0,12.0,20.0,20.0,
org.jfree.chart.axis.DateTickMarkPosition.csv,70.0,62.0,41.0,49.0,10.0,12.0,16.0,17.0,
org.jfree.chart.axis.DateTickUnit.csv,85.0,92.0,153.0,194.0,40.0,46.0,39.0,42.0,
org.jfree.chart.axis.junit.AxisPackageTests.csv,0.0,NaN,47.0,61.0,3.0,3.0,15.0,15.0,
org.jfree.chart.axis.junit.DateAxisTests.csv,0.0,NaN,749.0,665.0,27.0,27.0,37.0,36.0,
org.jfree.chart.axis.junit.DateTickUnitTests.csv,0.0,NaN,39.0,50.0,6.0,8.0,17.0,19.0,
org.jfree.chart.axis.LogarithmicAxis.csv,86.0,88.0,547.0,612.0,114.0,122.0,212.0,217.0,
org.jfree.chart.axis.MarkerAxisBand.csv,50.0,53.0,122.0,136.0,18.0,21.0,19.0,19.0,
org.jfree.chart.axis.NumberAxis.csv,93.0,94.0,751.0,767.0,109.0,109.0,184.0,200.0,
org.jfree.chart.axis.NumberAxis3D.csv,100.0,117.0,48.0,43.0,8.0,6.0,187.0,191.0,
org.jfree.chart.axis.NumberTickUnit.csv,64.0,70.0,50.0,54.0,14.0,15.0,27.0,27.0,
org.jfree.chart.axis.SegmentedTimeline.BaseTimelineSegmentRange.csv,94.0,NaN,640.0,700.0,84.0,89.0,57.0,60.0,
org.jfree.chart.axis.SegmentedTimeline.csv,0.0,NaN,5.0,5.0,1.0,NaN,48.0,48.0,
org.jfree.chart.axis.SegmentedTimeline.Segment.csv,68.0,67.0,151.0,156.0,37.0,37.0,41.0,41.0,
org.jfree.chart.axis.SegmentedTimeline.SegmentRange.csv,66.0,NaN,49.0,51.0,11.0,11.0,47.0,47.0,
org.jfree.chart.axis.Tick.csv,67.0,66.0,63.0,75.0,16.0,19.0,20.0,22.0,
org.jfree.chart.axis.TickUnit.csv,62.0,68.0,59.0,57.0,16.0,16.0,20.0,20.0,
org.jfree.chart.axis.TickUnits.csv,55.0,45.0,61.0,-16.0,14.0,19.0,21.0,23.0,
org.jfree.chart.axis.Timeline.csv,0.0,NaN,9.0,NaN,7.0,NaN,7.0,NaN,
org.jfree.chart.axis.ValueAxis.csv,95.0,94.0,714.0,974.0,161.0,221.0,146.0,164.0,
org.jfree.chart.ChartColor.csv,50.0,NaN,67.0,67.0,2.0,NaN,50.0,NaN,
org.jfree.chart.ChartFactory.csv,0.0,NaN,1132.0,1433.0,156.0,199.0,52.0,56.0,
org.jfree.chart.ChartFrame.csv,33.0,NaN,20.0,NaN,4.0,NaN,725.0,NaN,
org.jfree.chart.ChartMouseEvent.csv,62.0,66.0,22.0,24.0,4.0,NaN,19.0,21.0,
org.jfree.chart.ChartMouseListener.csv,0.0,NaN,4.0,NaN,2.0,NaN,2.0,NaN,
org.jfree.chart.ChartPanel.csv,96.0,97.0,1215.0,1452.0,226.0,256.0,800.0,818.0,
org.jfree.chart.ChartRenderingInfo.csv,62.0,66.0,75.0,87.0,20.0,23.0,24.0,26.0,
org.jfree.chart.ChartUtilities.csv,0.0,-29.0,246.0,357.0,44.0,59.0,39.0,41.0,
org.jfree.chart.ClipPath.csv,80.0,NaN,155.0,167.0,32.0,33.0,37.0,38.0,
org.jfree.chart.DrawableLegendItem.csv,86.0,90.0,64.0,81.0,17.0,22.0,29.0,34.0,
org.jfree.chart.Effect3D.csv,0.0,NaN,4.0,NaN,2.0,NaN,2.0,NaN,
org.jfree.chart.entity.CategoryItemEntity.csv,66.0,71.0,111.0,103.0,27.0,27.0,48.0,49.0,
org.jfree.chart.entity.ChartEntity.csv,73.0,75.0,170.0,208.0,41.0,49.0,32.0,34.0,
org.jfree.chart.entity.ContourEntity.csv,75.0,82.0,33.0,40.0,9.0,11.0,38.0,41.0,
org.jfree.chart.entity.EntityCollection.csv,0.0,NaN,10.0,13.0,8.0,11.0,8.0,11.0,
org.jfree.chart.entity.LegendItemEntity.csv,72.0,83.0,54.0,60.0,15.0,17.0,42.0,46.0,
org.jfree.chart.entity.PieSectionEntity.csv,65.0,77.0,75.0,60.0,18.0,15.0,44.0,46.0,
org.jfree.chart.entity.StandardEntityCollection.csv,50.0,68.0,62.0,81.0,17.0,23.0,23.0,28.0,
org.jfree.chart.entity.XYItemEntity.csv,69.0,80.0,52.0,67.0,13.0,17.0,41.0,45.0,
org.jfree.chart.event.AxisChangeEvent.csv,0.0,NaN,10.0,NaN,2.0,NaN,24.0,NaN,
org.jfree.chart.event.AxisChangeListener.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.event.ChartChangeEvent.csv,57.0,46.0,28.0,27.0,7.0,NaN,22.0,NaN,
org.jfree.chart.event.ChartChangeListener.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.event.ChartProgressEvent.csv,77.0,NaN,31.0,32.0,7.0,NaN,22.0,NaN,
org.jfree.chart.event.ChartProgressListener.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.event.PlotChangeEvent.csv,0.0,NaN,10.0,NaN,2.0,NaN,24.0,NaN,
org.jfree.chart.event.PlotChangeListener.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.event.TitleChangeEvent.csv,0.0,NaN,10.0,NaN,2.0,NaN,24.0,NaN,
org.jfree.chart.event.TitleChangeListener.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.JFreeChart.csv,92.0,94.0,698.0,833.0,158.0,185.0,82.0,88.0,
org.jfree.chart.JFreeChartInfo.csv,0.0,NaN,127.0,133.0,4.0,NaN,14.0,NaN,
org.jfree.chart.junit.ChartPackageTests.csv,0.0,NaN,35.0,41.0,1.0,0.0,13.0,12.0,
org.jfree.chart.junit.JFreeChartTests.csv,84.0,91.0,348.0,354.0,26.0,25.0,28.0,27.0,
org.jfree.chart.junit.JFreeChartTestSuite.csv,0.0,NaN,30.0,37.0,2.0,2.0,14.0,14.0,
org.jfree.chart.junit.PieChartTests.csv,60.0,NaN,38.0,38.0,5.0,NaN,17.0,NaN,
org.jfree.chart.junit.PieChartTests.LocalListener.csv,0.0,NaN,5.0,NaN,1.0,NaN,13.0,NaN,
org.jfree.chart.junit.ScatterPlotTests.csv,42.0,38.0,78.0,83.0,8.0,8.0,19.0,19.0,
org.jfree.chart.junit.ScatterPlotTests.LocalListener.csv,0.0,NaN,5.0,NaN,1.0,NaN,13.0,NaN,
org.jfree.chart.labels.ContourToolTipGenerator.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.labels.CustomXYToolTipGenerator.csv,68.0,79.0,68.0,73.0,18.0,18.0,20.0,20.0,
org.jfree.chart.labels.StandardContourToolTipGenerator.csv,50.0,58.0,47.0,47.0,7.0,6.0,14.0,NaN,
org.jfree.chart.labels.XYToolTipGenerator.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.LegendItem.csv,90.0,101.0,422.0,545.0,89.0,106.0,60.0,64.0,
org.jfree.chart.LegendItemCollection.csv,50.0,58.0,40.0,44.0,11.0,12.0,20.0,21.0,
org.jfree.chart.needle.ArrowNeedle.csv,60.0,71.0,68.0,85.0,12.0,16.0,43.0,48.0,
org.jfree.chart.needle.LineNeedle.csv,100.0,115.0,31.0,43.0,7.0,10.0,42.0,47.0,
org.jfree.chart.needle.LongNeedle.csv,100.0,115.0,77.0,96.0,12.0,15.0,43.0,48.0,
org.jfree.chart.needle.MeterNeedle.csv,80.0,77.0,161.0,206.0,41.0,50.0,38.0,41.0,
org.jfree.chart.needle.PinNeedle.csv,100.0,115.0,48.0,64.0,9.0,13.0,42.0,47.0,
org.jfree.chart.needle.PlumNeedle.csv,100.0,115.0,41.0,55.0,8.0,12.0,42.0,47.0,
org.jfree.chart.needle.PointerNeedle.csv,100.0,115.0,60.0,76.0,11.0,15.0,42.0,47.0,
org.jfree.chart.needle.ShipNeedle.csv,100.0,115.0,39.0,53.0,8.0,12.0,42.0,47.0,
org.jfree.chart.needle.WindNeedle.csv,100.0,115.0,38.0,51.0,8.0,11.0,47.0,53.0,
org.jfree.chart.plot.CategoryPlot.csv,97.0,97.0,2139.0,2213.0,517.0,524.0,270.0,271.0,
org.jfree.chart.plot.CombinedDomainCategoryPlot.csv,78.0,86.0,327.0,381.0,73.0,86.0,294.0,278.0,
org.jfree.chart.plot.CombinedDomainXYPlot.csv,79.0,84.0,321.0,368.0,72.0,83.0,316.0,299.0,
org.jfree.chart.plot.CombinedRangeCategoryPlot.csv,73.0,81.0,272.0,321.0,61.0,74.0,289.0,275.0,
org.jfree.chart.plot.CombinedRangeXYPlot.csv,78.0,81.0,307.0,334.0,68.0,75.0,315.0,297.0,
org.jfree.chart.plot.CompassPlot.csv,90.0,88.0,408.0,498.0,89.0,111.0,109.0,115.0,
org.jfree.chart.plot.ContourPlot.csv,96.0,96.0,850.0,905.0,174.0,177.0,154.0,158.0,
org.jfree.chart.plot.ContourPlotUtilities.csv,0.0,NaN,7.0,6.0,1.0,1.0,13.0,13.0,
org.jfree.chart.plot.ContourValuePlot.csv,0.0,NaN,3.0,3.0,1.0,1.0,1.0,1.0,
org.jfree.chart.plot.DatasetRenderingOrder.csv,70.0,73.0,39.0,40.0,10.0,10.0,17.0,17.0,
org.jfree.chart.plot.DefaultDrawingSupplier.csv,84.0,85.0,250.0,260.0,44.0,47.0,29.0,29.0,
org.jfree.chart.plot.DrawingSupplier.csv,0.0,NaN,8.0,8.0,6.0,6.0,6.0,6.0,
org.jfree.chart.plot.FastScatterPlot.csv,88.0,94.0,417.0,605.0,94.0,136.0,118.0,139.0,
org.jfree.chart.plot.JThermometer.csv,77.0,84.0,131.0,154.0,35.0,40.0,724.0,730.0,
org.jfree.chart.plot.junit.CompassPlotTests.csv,0.0,NaN,80.0,102.0,7.0,9.0,17.0,19.0,
org.jfree.chart.plot.junit.ContourPlotTests.csv,0.0,NaN,27.0,28.0,4.0,NaN,15.0,NaN,
org.jfree.chart.plot.junit.FastScatterPlotTests.csv,0.0,NaN,114.0,162.0,11.0,13.0,19.0,21.0,
org.jfree.chart.plot.junit.MeterPlotTests.csv,0.0,NaN,163.0,241.0,9.0,12.0,18.0,20.0,
org.jfree.chart.plot.junit.PiePlotTests.csv,0.0,NaN,425.0,584.0,22.0,23.0,25.0,26.0,
org.jfree.chart.plot.junit.PlotPackageTests.csv,0.0,NaN,40.0,52.0,3.0,3.0,15.0,15.0,
org.jfree.chart.plot.junit.ThermometerPlotTests.csv,0.0,NaN,146.0,158.0,10.0,9.0,19.0,19.0,
org.jfree.chart.plot.junit.XYPlotTests.csv,0.0,NaN,779.0,970.0,49.0,56.0,41.0,46.0,
org.jfree.chart.plot.MeterPlot.csv,92.0,90.0,616.0,832.0,124.0,173.0,130.0,148.0,
org.jfree.chart.plot.PiePlot.csv,96.0,95.0,1526.0,1493.0,307.0,289.0,215.0,221.0,
org.jfree.chart.plot.Plot.csv,94.0,94.0,571.0,598.0,150.0,159.0,75.0,77.0,
org.jfree.chart.plot.PlotOrientation.csv,70.0,73.0,40.0,39.0,10.0,10.0,17.0,17.0,
org.jfree.chart.plot.ThermometerPlot.csv,96.0,96.0,750.0,833.0,165.0,181.0,152.0,153.0,
org.jfree.chart.plot.ValueAxisPlot.csv,0.0,NaN,3.0,1.0,1.0,-2.0,1.0,-2.0,
org.jfree.chart.plot.XYPlot.csv,97.0,97.0,2633.0,2921.0,620.0,669.0,291.0,295.0,
org.jfree.chart.renderer.AbstractRenderer.csv,97.0,98.0,1454.0,1941.0,384.0,508.0,199.0,242.0,
org.jfree.chart.renderer.junit.RendererPackageTests.csv,0.0,NaN,16.0,3.0,2.0,NaN,14.0,NaN,
org.jfree.chart.renderer.NotOutlierException.csv,0.0,NaN,5.0,NaN,1.0,NaN,44.0,NaN,
org.jfree.chart.renderer.Outlier.csv,59.0,58.0,65.0,63.0,17.0,16.0,23.0,23.0,
org.jfree.chart.renderer.OutlierList.csv,70.0,70.0,47.0,50.0,11.0,11.0,21.0,13.0,
org.jfree.chart.renderer.OutlierListCollection.csv,70.0,74.0,49.0,51.0,12.0,13.0,20.0,13.0,
org.jfree.chart.resources.JFreeChartResources.csv,0.0,NaN,12.0,NaN,1.0,NaN,51.0,NaN,
org.jfree.chart.servlet.ChartDeleter.csv,40.0,NaN,28.0,30.0,7.0,NaN,17.0,NaN,
org.jfree.chart.servlet.DisplayChart.csv,0.0,NaN,49.0,54.0,11.0,12.0,15.0,NaN,
org.jfree.chart.servlet.ServletUtilities.csv,71.0,109.0,168.0,198.0,35.0,41.0,26.0,29.0,
org.jfree.chart.urls.CategoryURLGenerator.csv,0.0,NaN,4.0,4.0,1.0,1.0,1.0,1.0,
org.jfree.chart.urls.CustomXYURLGenerator.csv,68.0,76.0,80.0,90.0,22.0,25.0,20.0,20.0,
org.jfree.chart.urls.junit.CustomXYURLGeneratorTests.csv,0.0,NaN,96.0,53.0,9.0,9.0,19.0,19.0,
org.jfree.chart.urls.junit.StandardPieURLGeneratorTests.csv,0.0,NaN,68.0,73.0,7.0,8.0,18.0,19.0,
org.jfree.chart.urls.junit.UrlsPackageTests.csv,0.0,NaN,19.0,22.0,3.0,3.0,15.0,15.0,
org.jfree.chart.urls.PieURLGenerator.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.urls.StandardCategoryURLGenerator.csv,53.0,58.0,82.0,116.0,20.0,31.0,19.0,21.0,
org.jfree.chart.urls.StandardPieURLGenerator.csv,62.0,76.0,67.0,77.0,15.0,17.0,18.0,19.0,
org.jfree.chart.urls.StandardXYURLGenerator.csv,60.0,66.0,62.0,80.0,14.0,18.0,17.0,18.0,
org.jfree.chart.urls.StandardXYZURLGenerator.csv,0.0,NaN,6.0,NaN,1.0,NaN,18.0,19.0,
org.jfree.chart.urls.TimeSeriesURLGenerator.csv,60.0,63.0,82.0,79.0,21.0,21.0,20.0,20.0,
org.jfree.chart.urls.XYURLGenerator.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.urls.XYZURLGenerator.csv,0.0,NaN,3.0,NaN,1.0,NaN,2.0,NaN,
org.jfree.data.DefaultKeyedValue.csv,54.0,66.0,52.0,60.0,16.0,20.0,20.0,22.0,
org.jfree.data.DefaultKeyedValues.csv,68.0,76.0,190.0,198.0,46.0,50.0,34.0,37.0,
org.jfree.data.DefaultKeyedValues2D.csv,67.0,72.0,252.0,326.0,62.0,79.0,35.0,39.0,
org.jfree.data.DomainInfo.csv,0.0,NaN,5.0,5.0,3.0,3.0,3.0,3.0,
org.jfree.data.junit.DataPackageTests.csv,0.0,NaN,25.0,33.0,3.0,3.0,15.0,15.0,
org.jfree.data.junit.DefaultKeyedValues2DTests.csv,87.0,95.0,216.0,220.0,26.0,26.0,28.0,28.0,
org.jfree.data.junit.DefaultKeyedValuesTests.csv,0.0,NaN,316.0,357.0,31.0,37.0,33.0,35.0,
org.jfree.data.junit.DefaultKeyedValueTests.csv,0.0,NaN,68.0,94.0,9.0,12.0,18.0,20.0,
org.jfree.data.KeyedObject.csv,55.0,60.0,42.0,60.0,11.0,16.0,18.0,20.0,
org.jfree.data.KeyedObjects.csv,62.0,71.0,151.0,190.0,39.0,50.0,28.0,29.0,
org.jfree.data.KeyedObjects2D.csv,60.0,71.0,252.0,283.0,62.0,70.0,34.0,37.0,
org.jfree.data.KeyedValue.csv,0.0,NaN,3.0,NaN,1.0,NaN,2.0,NaN,
