FileName,PercentLackOfCohesion-Real,PercentLackOfCohesion-Predicted,CountLineCode-Real,CountLineCode-Predicted,SumCyclomatic-Real,SumCyclomatic-Predicted,CountDeclMethodAll-Real,CountDeclMethodAll-Predicted
org.jfree.chart.entity.XYItemEntity.csv,69.0,69.0,52.0,52.0,13.0,13.0,41.0,41.0,
org.jfree.chart.event.AxisChangeEvent.csv,0.0,NaN,10.0,NaN,2.0,NaN,24.0,NaN,
org.jfree.chart.event.AxisChangeListener.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.event.ChartChangeEvent.csv,57.0,57.0,28.0,28.0,7.0,NaN,22.0,NaN,
org.jfree.chart.event.ChartChangeListener.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.event.ChartProgressEvent.csv,77.0,NaN,31.0,31.0,7.0,NaN,22.0,NaN,
org.jfree.chart.event.ChartProgressListener.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.event.PlotChangeEvent.csv,0.0,NaN,10.0,NaN,2.0,NaN,24.0,NaN,
org.jfree.chart.event.PlotChangeListener.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.event.TitleChangeEvent.csv,0.0,NaN,10.0,NaN,2.0,NaN,24.0,NaN,
org.jfree.chart.event.TitleChangeListener.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.JFreeChart.csv,92.0,92.0,698.0,702.0,158.0,159.0,82.0,82.0,
org.jfree.chart.JFreeChartInfo.csv,0.0,NaN,127.0,128.0,4.0,NaN,14.0,NaN,
org.jfree.chart.junit.ChartPackageTests.csv,0.0,NaN,35.0,35.0,1.0,1.0,13.0,13.0,
org.jfree.chart.junit.JFreeChartTests.csv,84.0,84.0,348.0,357.0,26.0,27.0,28.0,29.0,
org.jfree.chart.junit.JFreeChartTestSuite.csv,0.0,NaN,30.0,30.0,2.0,2.0,14.0,14.0,
org.jfree.chart.junit.PieChartTests.csv,60.0,NaN,38.0,38.0,5.0,NaN,17.0,NaN,
org.jfree.chart.junit.PieChartTests.LocalListener.csv,0.0,NaN,5.0,NaN,1.0,NaN,13.0,NaN,
org.jfree.chart.junit.ScatterPlotTests.csv,42.0,42.0,78.0,78.0,8.0,8.0,19.0,19.0,
org.jfree.chart.junit.ScatterPlotTests.LocalListener.csv,0.0,NaN,5.0,NaN,1.0,NaN,13.0,NaN,
org.jfree.chart.labels.ContourToolTipGenerator.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.labels.CustomXYToolTipGenerator.csv,68.0,68.0,68.0,70.0,18.0,18.0,20.0,20.0,
org.jfree.chart.labels.StandardContourToolTipGenerator.csv,50.0,50.0,47.0,47.0,7.0,7.0,14.0,NaN,
org.jfree.chart.labels.XYToolTipGenerator.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.LegendItem.csv,90.0,89.0,422.0,407.0,89.0,85.0,60.0,55.0,
org.jfree.chart.LegendItemCollection.csv,50.0,50.0,40.0,40.0,11.0,11.0,20.0,20.0,
org.jfree.chart.needle.ArrowNeedle.csv,60.0,60.0,68.0,69.0,12.0,12.0,43.0,43.0,
org.jfree.chart.needle.LineNeedle.csv,100.0,100.0,31.0,31.0,7.0,7.0,42.0,42.0,
org.jfree.chart.needle.LongNeedle.csv,100.0,100.0,77.0,77.0,12.0,12.0,43.0,43.0,
org.jfree.chart.needle.MeterNeedle.csv,80.0,80.0,161.0,161.0,41.0,41.0,38.0,38.0,
org.jfree.chart.needle.PinNeedle.csv,100.0,100.0,48.0,49.0,9.0,9.0,42.0,42.0,
org.jfree.chart.needle.PlumNeedle.csv,100.0,100.0,41.0,42.0,8.0,8.0,42.0,42.0,
org.jfree.chart.needle.PointerNeedle.csv,100.0,100.0,60.0,61.0,11.0,11.0,42.0,42.0,
org.jfree.chart.needle.ShipNeedle.csv,100.0,100.0,39.0,39.0,8.0,8.0,42.0,42.0,
org.jfree.chart.needle.WindNeedle.csv,100.0,100.0,38.0,38.0,8.0,8.0,47.0,47.0,
org.jfree.chart.plot.CategoryPlot.csv,97.0,97.0,2139.0,1935.0,517.0,477.0,270.0,256.0,
org.jfree.chart.plot.CombinedDomainCategoryPlot.csv,78.0,79.0,327.0,328.0,73.0,74.0,294.0,281.0,
org.jfree.chart.plot.CombinedDomainXYPlot.csv,79.0,79.0,321.0,323.0,72.0,73.0,316.0,306.0,
org.jfree.chart.plot.CombinedRangeCategoryPlot.csv,73.0,73.0,272.0,273.0,61.0,61.0,289.0,280.0,
org.jfree.chart.plot.CombinedRangeXYPlot.csv,78.0,78.0,307.0,308.0,68.0,68.0,315.0,305.0,
