Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Date
Public Class,org.jfree.data.time.TimePeriodValuesCollection,1,1,1,1,15,0,8,7,4,16,0,,0,1,,,24,3,24,60,0,1,0,23,,436,35,206,67,126,195,,,85,132,59,73,,,,,7,7,7,6,5,4,77,0.95,46,46,47,32,2007-04
Public Constructor,org.jfree.data.time.TimePeriodValuesCollection.TimePeriodValuesCollection,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,3,1,1,3,2,1,1,2,1,1,1,1,1,1,,,,,,0,,1,,,,,2007-04
Public Constructor,org.jfree.data.time.TimePeriodValuesCollection.TimePeriodValuesCollection,,,,,,,,,,,,,,,,,,,,,,,,,4,15,0,9,1,6,6,6,2,5,7,1,6,2,2,2,1,,,,,,1,,0.67,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.addSeries,,,,,,,,,,,,,,,,,,,,,,,,,2,18,3,8,1,5,7,4,2,4,6,1,5,2,2,2,1,,,,,,1,,0.88,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.equals,,,,,,,,,,,,,,,,,,,,,,,,,4,26,0,19,2,12,7,2,6,7,13,2,11,6,6,6,6,,,,,,1,,0.37,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.getDomainBounds,,,,,,,,,,,,,,,,,,,,,,,,,8,64,0,56,21,47,8,17,7,21,28,16,12,7,7,7,1,,,,,,4,,0.14,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.getDomainIsPointsInTime,,,,,,,,,,,,,,,,,,,,,,,,,1,15,0,3,1,1,12,1,1,1,2,1,1,1,1,1,1,,,,,,0,,4,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.getDomainLowerBound,,,,,,,,,,,,,,,,,,,,,,,,,2,16,0,8,3,5,8,3,2,4,6,3,3,2,2,2,1,,,,,,1,,1,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.getDomainUpperBound,,,,,,,,,,,,,,,,,,,,,,,,,2,16,0,8,3,5,8,3,2,4,6,3,3,2,2,2,1,,,,,,1,,1,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.getEndX,,,,,,,,,,,,,,,,,,,,,,,,,3,13,0,5,3,3,8,7,1,3,4,3,1,1,1,1,1,,,,,,0,,1.6,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.getEndY,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,3,1,1,8,2,1,1,2,1,1,1,1,1,1,,,,,,0,,2.67,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.getItemCount,,,,,,,,,,,,,,,,,,,,,,,,,1,12,0,3,1,1,9,3,1,1,2,1,1,1,1,1,1,,,,,,0,,3,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.getSeries,,,,,,,,,,,,,,,,,,,,,,,,,5,13,0,6,1,3,7,4,2,2,4,1,3,2,2,3,1,,,,,,1,,1.17,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.getSeriesCount,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,1,1,5,2,1,1,2,1,1,1,1,1,1,,,,,,0,,1.67,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.getSeriesKey,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,3,1,1,8,3,1,1,2,1,1,1,1,1,1,,,,,,0,,2.67,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.getStartX,,,,,,,,,,,,,,,,,,,,,,,,,3,13,0,5,3,3,8,7,1,3,4,3,1,1,1,1,1,,,,,,0,,1.6,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.getStartY,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,3,1,1,8,2,1,1,2,1,1,1,1,1,1,,,,,,0,,2.67,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.getX,,,,,,,,,,,,,,,,,,,,,,,,,3,14,0,6,4,4,8,6,1,4,5,4,1,1,1,1,1,,,,,,0,,1.33,,,,,2007-04
Private Method,org.jfree.data.time.TimePeriodValuesCollection.getX,,,,,,,,,,,,,,,,,,,,,,,,,6,24,2,15,1,9,7,5,4,4,8,1,7,4,4,4,4,,,,,,1,,0.47,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.getXPosition,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,3,1,1,7,1,1,1,2,1,1,1,1,1,1,,,,,,0,,2.33,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.getY,,,,,,,,,,,,,,,,,,,,,,,,,5,13,0,5,3,3,8,4,1,3,4,3,1,1,1,1,1,,,,,,0,,1.6,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.removeSeries,,,,,,,,,,,,,,,,,,,,,,,,,3,15,2,8,1,5,5,4,2,4,6,1,5,2,2,2,1,,,,,,1,,0.63,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.removeSeries,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,6,2,3,5,2,2,2,4,2,2,2,2,2,1,,,,,,1,,0.83,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.setDomainIsPointsInTime,,,,,,,,,,,,,,,,,,,,,,,,,1,12,0,3,1,1,9,1,1,1,2,1,1,1,1,1,1,,,,,,0,,3,,,,,2007-04
Public Method,org.jfree.data.time.TimePeriodValuesCollection.setXPosition,,,,,,,,,,,,,,,,,,,,,,,,,1,13,0,6,1,3,7,2,2,2,4,1,3,2,2,2,1,,,,,,1,,1.17,,,,,2007-04
Public Class,org.jfree.data.time.TimeSeries,2,2,2,1,19,0,9,8,3,25,0,,0,3,,,44,6,44,74,0,0,0,44,,925,78,448,114,276,407,,,208,309,108,201,,,,,11,11,12,11,2,3,88,0.91,105,105,109,54,2007-04
Public Constructor,org.jfree.data.time.TimeSeries.TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,4,11,0,4,1,2,7,2,1,1,2,1,1,1,1,1,1,,,,,,0,,1.75,,,,,2007-04
