Kind,Name,CountClassCoupled,PercentLackOfCohesion,CountDeclMethod,Date
File,CategoryPointerAnnotation.java,,,23,2008-06-09
File,CategoryPointerAnnotationTests.java,,,7,2008-06-09
File,CategorySeriesHandler.java,,,5,2008-06-09
File,CategorySeriesLabelGenerator.java,,,1,2008-06-09
File,CategoryStepRenderer.java,,,10,2008-06-09
File,CategoryStepRendererTests.java,,,7,2008-06-09
File,CategoryTableXYDataset.java,,,26,2008-06-09
File,CategoryTableXYDatasetTests.java,,,8,2008-06-09
File,CategoryTextAnnotation.java,,,11,2008-06-09
File,CategoryTextAnnotationTests.java,,,7,2008-06-09
File,CategoryTick.java,,,6,2008-06-09
File,CategoryTickTests.java,,,6,2008-06-09
File,CategoryToPieDataset.java,,,12,2008-06-09
File,CategoryToPieDatasetTests.java,,,8,2008-06-09
File,CategoryToolTipGenerator.java,,,1,2008-06-09
File,CategoryURLGenerator.java,,,1,2008-06-09
File,CenterArrangement.java,,,13,2008-06-09
File,ChartChangeEvent.java,,,7,2008-06-09
File,ChartChangeEventType.java,,,5,2008-06-09
File,ChartChangeListener.java,,,1,2008-06-09
File,ChartColor.java,,,2,2008-06-09
File,ChartComposite.java,,,65,2008-06-09
File,ChartDeleter.java,,,5,2008-06-09
File,ChartEditor.java,,,1,2008-06-09
File,ChartEditorFactory.java,,,1,2008-06-09
File,ChartEditorManager.java,,,4,2008-06-09
File,ChartEntity.java,,,20,2008-06-09
File,ChartFactory.java,,,38,2008-06-09
File,ChartFrame.java,,,3,2008-06-09
File,ChartMouseEvent.java,,,4,2008-06-09
File,ChartMouseListener.java,,,2,2008-06-09
File,ChartPackageTests.java,,,1,2008-06-09
File,ChartPanel.java,,,102,2008-06-09
File,ChartPanelTests.java,,,7,2008-06-09
File,ChartProgressEvent.java,,,7,2008-06-09
File,ChartProgressListener.java,,,1,2008-06-09
File,ChartRenderingInfo.java,,,12,2008-06-09
File,ChartRenderingInfoTests.java,,,6,2008-06-09
File,ChartUtilities.java,,,26,2008-06-09
File,ClipPath.java,,,25,2008-06-09
File,ClusteredXYBarRenderer.java,,,7,2008-06-09
File,ClusteredXYBarRendererTests.java,,,9,2008-06-09
File,ColorBar.java,,,17,2008-06-09
File,ColorBarTests.java,,,6,2008-06-09
File,ColorBlock.java,,,8,2008-06-09
File,ColorBlockTests.java,,,5,2008-06-09
File,ColorPalette.java,,,26,2008-06-09
File,ColorPaletteTests.java,,,4,2008-06-09
File,ColumnArrangement.java,,,11,2008-06-09
File,ColumnArrangementTests.java,,,5,2008-06-09
File,CombinationDataset.java,,,2,2008-06-09
File,CombinedCategoryPlot.java,,,5,2008-06-09
File,CombinedCategoryPlotDemo1.java,,,6,2008-06-09
File,CombinedDataset.java,,,31,2008-06-09
File,CombinedDomainCategoryPlot.java,,,24,2008-06-09
File,CombinedDomainCategoryPlotTests.java,,,11,2008-06-09
File,CombinedDomainXYPlot.java,,,25,2008-06-09
File,CombinedDomainXYPlotTests.java,,,12,2008-06-09
File,CombinedRangeCategoryPlot.java,,,19,2008-06-09
File,CombinedRangeCategoryPlotTests.java,,,11,2008-06-09
File,CombinedRangeXYPlot.java,,,24,2008-06-09
File,CombinedRangeXYPlotTests.java,,,11,2008-06-09
File,CombinedXYPlot.java,,,5,2008-06-09
File,CombinedXYPlotDemo1.java,,,7,2008-06-09
File,ComparableObjectItem.java,,,8,2008-06-09
File,ComparableObjectItemTests.java,,,7,2008-06-09
File,ComparableObjectSeries.java,,,20,2008-06-09
File,ComparableObjectSeriesTests.java,,,11,2008-06-09
File,CompassFormat.java,,,5,2008-06-09
File,CompassPlot.java,,,34,2008-06-09
File,CompassPlotTests.java,,,5,2008-06-09
File,CompositeTitle.java,,,8,2008-06-09
File,CompositeTitleTests.java,,,6,2008-06-09
File,ContourDataset.java,,,9,2008-06-09
File,ContourEntity.java,,,6,2008-06-09
File,ContourEntityTests.java,,,5,2008-06-09
File,ContourPlot.java,,,79,2008-06-09
File,ContourPlotTests.java,,,3,2008-06-09
File,ContourPlotUtilities.java,,,1,2008-06-09
File,ContourToolTipGenerator.java,,,1,2008-06-09
File,ContourValuePlot.java,,,1,2008-06-09
File,CrosshairState.java,,,22,2008-06-09
File,CustomCategoryURLGenerator.java,,,8,2008-06-09
File,CustomCategoryURLGeneratorTests.java,,,7,2008-06-09
File,CustomPieURLGenerator.java,,,8,2008-06-09
File,CustomPieURLGeneratorTests.java,,,6,2008-06-09
File,CustomXYItemLabelGeneratorTests.java,,,5,2008-06-09
File,CustomXYToolTipGenerator.java,,,8,2008-06-09
File,CustomXYURLGenerator.java,,,8,2008-06-09
File,CustomXYURLGeneratorTests.java,,,7,2008-06-09
File,CyclicNumberAxis.java,,,35,2008-06-09
File,CyclicNumberAxisTests.java,,,6,2008-06-09
File,CyclicXYItemRenderer.java,,,19,2008-06-09
File,DataCategoryPackageTests.java,,,3,2008-06-09
File,DataGanttPackageTests.java,,,3,2008-06-09
File,DataGeneralPackageTests.java,,,3,2008-06-09
File,DataPackageResources.java,,,1,2008-06-09
File,DataPackageResources_de.java,,,1,2008-06-09
File,DataPackageResources_es.java,,,1,2008-06-09
