Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Date
File,City.java,1,1,1,1,3,0,3,0,,,,1,0,0,,4,4,2,4,,0,0,0,4,,42,9,18,9,4,15,,,8,13,9,4,,,,,1,1,1,1,,0,,0.83,4,4,4,4,2015-03-17
File,City.java,1,1,1,1,3,0,3,0,,,,1,0,0,,4,4,2,4,,0,0,0,4,,42,9,18,9,4,15,,,8,13,9,4,,,,,1,1,1,1,,0,,0.83,4,4,4,4,2015-03-17
File,CityAdapter.java,2,2,2,1,5,0,5,0,,,,1,0,1,,6,6,2,6,,0,0,0,6,,86,18,49,23,18,19,,,23,34,19,15,,,,,3,3,3,1,,1,,0.39,10,10,11,6,2015-03-17
File,CityAdapter.java,2,2,2,1,5,0,5,0,,,,1,0,1,,6,6,2,6,,0,0,0,6,,86,18,49,23,18,19,,,23,34,19,15,,,,,3,3,3,1,,1,,0.39,10,10,11,6,2015-03-17
File,ClassMetaData.java,4,4,4,2,15,1,12,1,,,,1,0,0,,20,20,16,20,,0,8,0,12,,401,58,293,83,182,73,,,155,234,89,145,,,,,15,15,17,11,,4,,0.25,73,73,78,46,2015-03-17
File,CodeGenTest.java,0,0,0,0,0,0,0,0,,,,2,0,0,,0,0,2,0,,0,0,0,0,,16,4,9,7,0,4,,,4,6,6,0,,,,,0,0,0,0,,0,,0.44,0,0,0,0,2015-03-17
File,ColumnType.java,4,2,9,2,6,0,6,0,,,,1,1,1,,4,5,13,6,,1,1,0,4,,94,12,62,24,31,20,,,25,33,13,20,,,,,10,3,28,3,,2,,0.32,17,9,36,8,2015-03-17
File,ColumnTypeData.java,1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,1,1,,0,0,0,1,,27,4,8,5,1,15,,,4,6,5,1,,,,,1,1,1,1,,0,,1.88,1,1,1,1,2015-03-17
File,Constants.java,0,0,0,0,0,0,0,0,,,,1,0,3,,0,0,0,0,,0,0,0,0,,23,2,6,5,3,15,,,4,5,5,0,,,,,0,0,0,0,,0,,2.5,0,0,0,0,2015-03-17
File,Context.java,2,2,2,1,8,0,8,0,,,,1,0,0,,8,8,5,8,,0,0,1,7,,111,17,74,17,39,20,,,28,51,21,30,,,,,5,5,5,1,,1,,0.27,16,16,17,8,2015-03-17
