ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,68,144,28,43,2003-07
2,68,144,29,44,2003-10
3,68,144,29,44,2004-01
4,68,146,29,44,2004-04
5,68,146,29,44,2004-07
6,68,146,29,44,2004-10
7,68,144,28,42,2003-04
8,73,151,29,46,2006-01
9,68,150,29,46,2005-01
10,68,150,29,46,2005-04
11,73,151,29,46,2005-07
12,73,151,29,46,2005-10
13,73,151,29,46,2006-04
14,78,171,34,51,2008-04
15,78,171,34,51,2008-07
16,79,174,35,52,2008-10
17,73,151,29,46,2006-07
18,78,171,34,51,2006-10
19,78,171,34,51,2007-01
20,78,171,34,51,2007-04
21,78,171,34,51,2007-07
22,78,171,34,51,2007-10
23,78,171,34,51,2008-01
