ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,63,47,12,23,2003-07
2,62,44,11,22,2003-10
3,62,44,11,22,2004-01
4,62,44,11,22,2004-04
5,64,70,18,26,2004-07
6,64,70,18,26,2004-10
7,63,47,12,23,2003-04
8,68,64,17,24,2006-01
9,64,70,18,26,2005-01
10,64,70,18,26,2005-04
11,71,72,18,26,2005-07
12,68,78,20,26,2005-10
13,68,64,17,24,2006-04
14,62,75,20,24,2008-04
15,62,75,20,24,2008-07
16,62,75,20,24,2008-10
17,68,64,17,24,2006-07
18,68,64,17,24,2006-10
19,62,75,20,24,2007-01
20,62,75,20,24,2007-04
21,62,75,20,24,2007-07
22,62,75,20,24,2007-10
23,62,75,20,24,2008-01
