ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,84,194,47,52,2003-07
2,84,194,47,54,2003-10
3,84,194,47,54,2004-01
4,84,192,47,54,2004-04
5,84,196,47,60,2004-07
6,84,196,47,61,2004-10
7,86,157,36,50,2003-04
8,77,206,46,60,2006-01
9,86,217,54,65,2005-01
10,72,186,40,57,2005-04
11,77,206,46,60,2005-07
12,77,206,46,60,2005-10
13,77,206,46,60,2006-04
14,77,195,46,60,2008-04
15,77,195,46,60,2008-07
16,77,195,46,60,2008-10
17,77,206,46,60,2006-07
18,77,206,46,60,2006-10
19,77,206,46,60,2007-01
20,77,206,46,60,2007-04
21,77,195,46,60,2007-07
22,77,195,46,60,2007-10
23,77,195,46,60,2008-01
