ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,56,105,24,42,2003-07
2,58,115,26,44,2003-10
3,58,115,26,44,2004-01
4,58,115,26,44,2004-04
5,58,115,26,44,2004-07
6,58,115,26,44,2004-10
7,59,108,25,42,2003-04
8,67,116,26,46,2006-01
9,58,115,26,46,2005-01
10,58,115,26,46,2005-04
11,67,116,26,46,2005-07
12,67,116,26,46,2005-10
13,67,116,26,46,2006-04
14,75,161,35,48,2008-04
15,75,161,35,48,2008-07
16,75,161,35,48,2008-10
17,67,116,26,46,2006-07
18,75,157,33,48,2006-10
19,75,157,33,48,2007-01
20,75,157,33,48,2007-04
21,75,157,33,48,2007-07
22,75,157,33,48,2007-10
23,75,157,33,48,2008-01
