Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Date
Public Method,org.jfree.chart.axis.CyclicNumberAxis.setAutoRangeMinimumSize,,,,,,,,,,,,,,,,,,,,,,,,,3,15,0,6,1,3,9,2,2,2,4,1,3,2,2,2,1,,,,,,1,,1.5,,,,,2004-04-01
Public Method,org.jfree.chart.axis.CyclicNumberAxis.setBoundMappedToLastCycle,,,,,,,,,,,,,,,,,,,,,,,,,3,14,0,3,1,1,11,1,1,1,2,1,1,1,1,1,1,,,,,,0,,3.67,,,,,2004-04-01
Public Method,org.jfree.chart.axis.CyclicNumberAxis.setFixedAutoRange,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,4,1,2,8,2,1,2,3,1,2,1,1,1,1,,,,,,0,,2,,,,,2004-04-01
Public Method,org.jfree.chart.axis.CyclicNumberAxis.setOffset,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,3,1,1,9,1,1,1,2,1,1,1,1,1,1,,,,,,0,,3,,,,,2004-04-01
Public Method,org.jfree.chart.axis.CyclicNumberAxis.setPeriod,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,3,1,1,9,1,1,1,2,1,1,1,1,1,1,,,,,,0,,3,,,,,2004-04-01
Public Method,org.jfree.chart.axis.CyclicNumberAxis.setRange,,,,,,,,,,,,,,,,,,,,,,,,,4,16,0,7,2,4,9,4,2,3,5,2,3,2,2,2,1,,,,,,1,,1.29,,,,,2004-04-01
Public Method,org.jfree.chart.axis.CyclicNumberAxis.valueToJava2D,,,,,,,,,,,,,,,,,,,,,,,,,10,55,5,41,7,28,9,12,19,17,26,7,19,11,11,12,7,,,,,,2,,0.22,,,,,2004-04-01
Private Method,org.jfree.chart.axis.CyclicNumberAxis.writeObject,,,,,,,,,,,,,,,,,,,,,,,,,3,14,2,5,1,3,7,3,1,3,4,1,3,1,1,1,1,,,,,,0,,1.4,,,,,2004-04-01
Public Class,org.jfree.chart.axis.DateAxis,2,2,2,1,28,2,17,8,3,38,0,,1,5,,,44,4,45,173,0,3,6,36,,1497,197,824,234,575,477,,,437,563,207,356,,,,,20,14,20,4,3,4,93,0.58,125,113,128,50,2004-04-01
Public Constructor,org.jfree.chart.axis.DateAxis.DateAxis,,,,,,,,,,,,,,,,,,,,,,,,,42,8,0,3,1,1,5,2,1,1,2,1,1,1,1,1,1,,,,,,0,,1.67,,,,,2004-04-01
Public Constructor,org.jfree.chart.axis.DateAxis.DateAxis,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,2,1,1,2,1,1,1,1,1,1,,,,,,0,,1,,,,,2004-04-01
Public Constructor,org.jfree.chart.axis.DateAxis.DateAxis,,,,,,,,,,,,,,,,,,,,,,,,,7,21,3,8,1,6,10,8,1,6,7,1,6,1,1,1,1,,,,,,0,,1.25,,,,,2004-04-01
Private Static Class,org.jfree.chart.axis.DateAxis.DefaultTimeline,1,1,1,1,12,0,4,7,3,1,0,,0,0,,,8,0,8,20,0,0,0,8,,106,13,35,9,14,58,,,11,23,9,14,,,,,4,4,4,4,1,1,0,1.66,11,11,11,11,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.DefaultTimeline.containsDomainRange,,,,,,,,,,,,,,,,,,,,,,,,,0,11,0,3,1,1,8,1,1,1,2,1,1,1,1,1,1,,,,,,0,,2.67,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.DefaultTimeline.containsDomainRange,,,,,,,,,,,,,,,,,,,,,,,,,0,11,0,3,1,1,8,1,1,1,2,1,1,1,1,1,1,,,,,,0,,2.67,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.DefaultTimeline.containsDomainValue,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,3,1,1,7,1,1,1,2,1,1,1,1,1,1,,,,,,0,,2.33,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.DefaultTimeline.containsDomainValue,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,3,1,1,7,1,1,1,2,1,1,1,1,1,1,,,,,,0,,2.33,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.DefaultTimeline.equals,,,,,,,,,,,,,,,,,,,,,,,,,1,24,5,12,1,7,7,1,4,4,8,1,7,4,4,4,4,,,,,,1,,0.58,,,,,2004-04-01
Public Method,org.jfree.chart.axis.DateAxis.DefaultTimeline.toMillisecond,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,3,1,1,7,1,1,1,2,1,1,1,1,1,1,,,,,,0,,2.33,,,,,2004-04-01
