Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Date
File,ArrowNeedle.java,3,3,4,2,26,2,17,7,,,,1,0,1,,3,3,1,3,,0,0,1,2,,153,15,64,22,38,74,,,37,47,21,26,,,,,4,4,6,4,,1,,1.16,9,9,12,6,2005-07-01
File,Axis.java,2,2,2,1,15,0,8,6,,,,1,0,16,,56,56,21,56,,0,2,5,49,,1200,144,560,191,319,496,,,272,381,161,220,,,,,22,22,22,22,,2,,0.89,112,112,115,77,2005-07-01
File,AxisChangeEvent.java,1,1,1,1,8,0,3,5,,,,1,0,0,,2,2,1,2,,0,0,0,2,,75,7,12,6,3,56,,,6,9,6,3,,,,,1,1,1,1,,0,,4.67,2,2,2,2,2005-07-01
File,AxisChangeListener.java,1,1,1,1,6,0,1,5,,,,1,0,0,,1,1,0,1,,0,0,0,1,,67,5,5,4,0,57,,,3,4,4,0,,,,,1,1,1,1,,0,,11.4,1,1,1,1,2005-07-01
File,AxisCollection.java,2,2,2,1,12,0,6,5,,,,1,0,0,,6,6,4,6,,0,0,0,6,,145,15,47,14,20,83,,,21,34,14,20,,,,,7,7,7,1,,1,,1.77,12,12,12,6,2005-07-01
File,AxisLocation.java,3,3,3,2,18,0,11,6,,,,1,1,5,,5,4,1,5,,0,2,0,3,,177,17,75,21,46,85,,,29,47,17,30,,,,,6,6,6,5,,1,,1.13,17,17,17,12,2005-07-01
File,AxisLocationTests.java,1,1,1,1,12,0,8,3,,,,1,1,0,,5,4,0,5,,0,0,0,5,,131,12,56,28,31,63,,,36,43,27,16,,,,,2,2,2,1,,1,,1.13,6,6,6,5,2005-07-01
File,AxisPackageTests.java,1,1,1,1,18,0,13,5,,,,1,2,0,,3,1,0,3,,0,0,0,3,,116,8,45,9,33,63,,,37,41,9,32,,,,,1,1,1,1,,0,,1.4,3,3,3,3,2005-07-01
File,AxisPropertyEditPanel.java,2,2,2,1,19,1,10,6,,,,1,1,1,,17,16,14,17,,0,2,0,15,,524,70,220,71,134,234,,,134,160,68,92,,,,,4,4,4,3,,2,,1.06,27,27,27,19,2005-07-01
File,AxisSpace.java,2,2,2,1,14,0,9,5,,,,1,0,1,,19,19,4,19,,0,0,0,19,,379,29,186,34,110,164,,,69,114,34,80,,,,,9,9,9,7,,2,,0.88,44,44,44,25,2005-07-01
File,AxisSpaceTests.java,1,1,1,1,14,0,9,3,,,,1,1,0,,5,4,0,5,,0,0,0,5,,133,15,55,19,36,63,,,39,46,19,27,,,,,2,2,2,1,,1,,1.15,6,6,6,5,2005-07-01
File,AxisState.java,1,1,1,1,8,0,3,4,,,,1,0,0,,13,13,3,13,,0,0,0,13,,194,20,59,20,21,115,,,23,41,20,21,,,,,5,5,5,1,,1,,1.95,17,17,17,13,2005-07-01
File,AxisTests.java,1,1,1,1,33,4,22,7,,,,1,1,0,,5,4,0,5,,0,0,0,5,,236,32,122,25,98,82,,,106,113,25,88,,,,,2,2,2,1,,1,,0.67,6,6,6,5,2005-07-01
File,BarChart3DTests.java,1,1,1,1,15,1,10,4,,,,2,2,0,,9,7,2,9,,0,1,1,7,,240,29,118,60,69,94,,,61,73,53,20,,,,,2,2,2,1,,1,,0.8,10,10,10,9,2005-07-01
File,BarChartDemo1.java,1,1,1,1,34,5,20,10,,,,1,3,0,,4,1,0,4,,0,2,0,2,,210,31,102,47,75,85,,,72,77,43,34,,,,,1,1,1,1,,0,,0.83,4,4,4,4,2005-07-01
File,BarChartTests.java,1,1,1,1,15,1,9,4,,,,2,2,0,,9,7,2,9,,0,1,1,7,,238,33,112,60,62,94,,,61,73,53,20,,,,,2,2,2,1,,1,,0.84,10,10,10,9,2005-07-01
File,BarRenderer.java,4,4,4,2,27,1,18,8,,,,1,0,3,,30,30,10,30,,0,2,5,23,,1013,84,589,201,364,347,,,247,353,150,203,,,,,26,26,26,12,,4,,0.59,105,105,121,47,2005-07-01
File,BarRenderer3D.java,3,3,3,1,38,3,27,8,,,,1,0,4,,15,15,3,15,,0,2,0,13,,759,74,456,206,326,230,,,275,316,161,155,,,,,14,14,16,3,,3,,0.5,44,44,47,19,2005-07-01
File,BarRenderer3DTests.java,1,1,1,1,12,0,8,3,,,,1,1,0,,6,5,0,6,,0,0,0,6,,146,16,64,32,35,66,,,40,49,31,18,,,,,2,2,2,1,,1,,1.03,8,8,8,6,2005-07-01
File,BarRendererTests.java,1,1,1,1,22,2,15,4,,,,1,1,0,,7,6,0,7,,0,0,0,7,,238,29,130,43,91,79,,,88,98,42,56,,,,,2,2,2,1,,1,,0.61,9,9,9,7,2005-07-01
File,Block.java,1,1,1,1,7,0,1,6,,,,1,0,0,,7,7,0,7,,0,0,0,7,,122,12,14,13,0,96,,,12,13,13,0,,,,,1,1,1,1,,0,,6.86,7,7,7,7,2005-07-01
File,BlockBorder.java,2,2,2,1,13,0,7,6,,,,1,0,2,,11,11,2,11,,0,2,0,9,,242,20,101,41,50,121,,,54,76,38,38,,,,,5,5,5,5,,1,,1.2,21,21,21,15,2005-07-01
File,BlockBorderTests.java,1,1,1,1,16,0,12,4,,,,1,1,0,,5,4,0,5,,0,0,0,5,,156,14,77,33,48,65,,,42,49,29,20,,,,,2,2,2,1,,1,,0.84,6,6,6,5,2005-07-01
