Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Date
Public Constructor,org.jfree.data.time.TimePeriodFormatException.TimePeriodFormatException,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,,,,,2005-01-01
Public Class,org.jfree.data.time.TimePeriodValue,2,2,2,1,13,1,6,6,3,6,0,,0,0,,,8,2,8,20,0,0,0,8,,129,22,54,14,27,54,,,22,36,14,22,,,,,7,7,7,5,1,1,43,1,17,17,17,12,2005-01-01
Public Constructor,org.jfree.data.time.TimePeriodValue.TimePeriodValue,,,,,,,,,,,,,,,,,,,,,,,,,6,11,2,3,1,1,6,3,1,1,2,1,1,1,1,1,1,,,,,,0,,2,,,,,2005-01-01
Public Constructor,org.jfree.data.time.TimePeriodValue.TimePeriodValue,,,,,,,,,,,,,,,,,,,,,,,,,4,12,2,4,1,2,6,3,1,2,3,1,2,1,1,1,1,,,,,,0,,1.5,,,,,2005-01-01
Public Method,org.jfree.data.time.TimePeriodValue.clone,,,,,,,,,,,,,,,,,,,,,,,,,2,22,4,10,2,6,9,3,2,4,6,2,4,2,2,2,1,,,,,,1,,0.9,,,,,2005-01-01
Public Method,org.jfree.data.time.TimePeriodValue.equals,,,,,,,,,,,,,,,,,,,,,,,,,6,28,3,18,2,12,7,2,5,6,11,2,9,7,7,7,5,,,,,,1,,0.39,,,,,2005-01-01
Public Method,org.jfree.data.time.TimePeriodValue.getPeriod,,,,,,,,,,,,,,,,,,,,,,,,,8,8,0,3,1,1,5,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1.67,,,,,2005-01-01
Public Method,org.jfree.data.time.TimePeriodValue.getValue,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,3,1,1,5,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1.67,,,,,2005-01-01
Public Method,org.jfree.data.time.TimePeriodValue.hashCode,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,6,2,3,5,2,1,4,5,2,3,3,3,3,1,,,,,,0,,0.83,,,,,2005-01-01
Public Method,org.jfree.data.time.TimePeriodValue.setValue,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,1,1,5,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1.67,,,,,2005-01-01
Public Class,org.jfree.data.time.TimePeriodValues,2,2,2,1,16,1,8,6,2,12,0,,0,2,,,27,9,27,57,0,2,0,25,,504,81,229,66,135,194,,,112,166,69,97,,,,,13,13,13,9,2,3,87,0.85,55,55,55,35,2005-01-01
Public Constructor,org.jfree.data.time.TimePeriodValues.TimePeriodValues,,,,,,,,,,,,,,,,,,,,,,,,,8,12,2,5,1,3,5,2,1,1,2,1,1,1,1,1,1,,,,,,0,,1,,,,,2005-01-01
