Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Date
File,AbstractCategoryItemRenderer.java,4,4,4,1,23,1,13,7,,,,1,0,0,,31,31,10,31,,0,3,2,26,,874,101,463,133,259,310,,,207,318,111,207,,,,,26,26,26,1,,2,,0.67,110,110,114,31,2003-07-01
File,AbstractDataset.java,1,1,1,1,9,0,4,5,,,,1,0,0,,9,9,2,9,,0,2,3,4,,172,24,46,19,16,104,,,22,34,20,14,,,,,3,3,3,1,,2,,2.26,11,11,11,9,2003-07-01
File,AbstractRenderer.java,1,1,2,1,12,0,5,6,,,,1,0,7,,83,83,38,83,,0,2,2,79,,1402,220,524,191,252,658,,,272,389,186,203,,,,,4,4,15,4,,2,,1.26,117,117,128,86,2003-07-01
File,AbstractSeriesDataset.java,1,1,1,1,7,0,2,5,,,,1,0,0,,4,4,0,4,,0,0,1,3,,89,8,15,10,2,66,,,6,9,7,2,,,,,1,1,1,1,,0,,4.4,4,4,4,4,2003-07-01
File,AbstractTitle.java,2,2,2,1,13,1,5,7,,,,1,2,14,,26,24,6,26,,0,2,6,18,,522,82,176,68,90,264,,,91,130,67,63,,,,,4,4,8,4,,3,,1.5,46,42,50,29,2003-07-01
File,AbstractXYItemRenderer.java,3,3,3,1,23,2,13,8,,,,1,0,0,,21,21,3,21,,0,0,4,17,,607,71,308,146,174,228,,,165,216,112,104,,,,,9,9,10,4,,2,,0.74,58,58,62,24,2003-07-01
File,AreaChartDemo.java,1,1,1,1,30,5,16,10,,,,1,1,0,,3,2,0,3,,0,1,0,2,,160,25,68,33,43,74,,,47,51,31,20,,,,,1,1,1,1,,0,,1.09,3,3,3,3,2003-07-01
File,AreaRenderer.java,7,7,7,1,58,6,43,9,,,,1,0,0,,2,2,0,2,,0,0,0,2,,199,20,102,49,63,77,,,63,78,41,37,,,,,13,13,13,1,,4,,0.75,14,14,14,2,2003-07-01
File,AreaRendererTests.java,1,1,1,1,15,1,7,7,,,,1,1,0,,4,3,0,4,,0,0,0,4,,127,16,41,23,18,70,,,27,33,23,10,,,,,2,2,2,1,,1,,1.71,5,5,5,4,2003-07-01
File,AreaXYRenderer.java,4,4,4,1,28,2,17,8,,,,1,0,5,,10,10,6,10,,0,0,0,10,,415,51,207,81,112,157,,,97,138,59,79,,,,,26,26,29,1,,3,,0.76,40,40,43,10,2003-07-01
File,AreaXYRendererTests.java,1,1,1,1,13,1,7,4,,,,1,1,0,,3,2,0,3,,0,0,0,3,,103,13,36,20,15,54,,,24,29,20,9,,,,,2,2,2,1,,1,,1.5,4,4,4,3,2003-07-01
File,ArrowNeedle.java,3,3,4,1,29,3,19,7,,,,1,0,0,,2,2,1,2,,0,0,1,1,,119,13,49,18,29,57,,,31,37,18,19,,,,,4,4,6,1,,1,,1.16,5,5,7,2,2003-07-01
File,Axis.java,2,2,2,1,15,1,7,6,,,,1,0,0,,50,50,19,50,,0,2,6,42,,990,144,424,167,233,422,,,228,310,154,156,,,,,6,6,18,4,,2,,1,86,86,103,53,2003-07-01
File,AxisChangeEvent.java,1,1,1,1,8,0,3,5,,,,1,0,0,,2,2,1,2,,0,0,0,2,,72,7,12,6,3,53,,,6,9,6,3,,,,,1,1,1,1,,0,,4.42,2,2,2,2,2003-07-01
File,AxisChangeListener.java,1,1,1,1,6,0,1,5,,,,1,0,0,,1,1,0,1,,0,0,0,1,,64,5,5,4,0,54,,,3,4,4,0,,,,,1,1,1,1,,0,,10.8,1,1,1,1,2003-07-01
File,AxisConstants.java,0,0,0,0,0,0,0,0,,,,1,0,13,,0,0,0,0,,0,0,0,0,,99,17,22,21,13,60,,,20,21,21,0,,,,,0,0,0,0,,0,,2.73,0,0,0,0,2003-07-01
File,AxisLocation.java,3,3,3,3,15,1,8,6,,,,1,0,4,,4,4,1,4,,0,2,0,2,,135,17,46,16,23,72,,,20,32,14,18,,,,,5,5,5,5,,1,,1.57,11,11,11,11,2003-07-01
File,AxisLocationTests.java,1,1,1,1,11,0,7,3,,,,1,1,0,,5,4,0,5,,0,0,0,5,,124,14,50,26,25,60,,,34,41,26,15,,,,,2,2,2,1,,1,,1.2,6,6,6,5,2003-07-01
File,AxisNotCompatibleException.java,1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,63,4,6,3,1,53,,,2,4,3,1,,,,,1,1,1,1,,0,,8.83,1,1,1,1,2003-07-01
File,AxisPackageTests.java,1,1,1,1,14,0,9,5,,,,1,1,0,,2,1,0,2,,0,0,0,2,,85,7,24,8,14,54,,,18,21,8,13,,,,,1,1,1,1,,0,,2.25,2,2,2,2,2003-07-01
